No.;Layer;Output Size;Latency [ms];Energy [mJ];Sensor Latency;Sensor Energy;Link Latency;Link Energy;Edge Latency;Edge Energy
1;Identity;(1, 3, 224, 224);209.69651592842422;141.37631256407732;0.00680592842400074;0.0;2.450286;1.4701716;207.2394240000002;139.90614096407734
2;MaxPool2d: 2-4;[1, 64, 56, 56];210.73579925161027;141.2886688436298;1.4586492516100407;0.0;3.267038;1.9602228;206.01011200000022;139.3284460436298
3;Bottleneck: 3-4;[1, 512, 28, 28];217.01503135945455;139.71406008632857;9.689177359454334;0.0;6.534046;3.9204276;200.79180800000023;135.79363248632856
4;Bottleneck: 3-5;[1, 512, 28, 28];215.59396742021528;137.43122306493203;11.17832142021507;0.0;6.534046;3.9204276;197.88160000000022;133.51079546493202
5;Bottleneck: 3-6;[1, 512, 28, 28];214.9135365675238;136.25358134068367;12.203874567523599;0.0;6.534046;3.9204276;196.17561600000022;132.33315374068366
6;Bottleneck: 3-7;[1, 512, 28, 28];214.36575188341448;135.0759396164353;13.362073883414268;0.0;6.534046;3.9204276;194.46963200000022;131.1555120164353
7;Conv2d: 2-9;[1, 512, 28, 28];169.62413854424037;36.86671909466753;105.19953254424036;0.0;6.534046;3.9204276;57.89056;32.94629149466753
8;BatchNorm2d: 2-10;[1, 512, 28, 28];108.1988409023934;4.019829566719415;101.5769869023934;0.0;6.534046;3.9204276;0.087808;0.09940196671941506
9;ReLU: 2-11;[1, 512, 28, 28];108.05749440865749;4.019829566719415;101.43564040865749;0.0;6.534046;3.9204276;0.087808;0.09940196671941506
10;Conv2d: 2-13;[1, 21, 28, 28];102.64099545792537;0.26021996671941505;102.28515745792538;0.0;0.26803;0.160818;0.087808;0.09940196671941506
