No.;Layer;Output Size;Latency [ms];Energy [mJ];Sensor Latency;Sensor Energy;Link Latency;Link Energy;Edge Latency;Edge Energy
1;Identity;(1, 3, 224, 224);14.525966280762079;9.388133296236747;0.006784280762076378;0.0;2.450286;1.4701716;12.068896000000002;7.9179616962367465
2;MaxPool2d: 1-5;[1, 192, 28, 28];14.711736787953914;6.873570424909705;4.231722787953913;0.0;2.450286;1.4701716;8.029728;5.403398824909705
3;MaxPool2d: 1-8;[1, 480, 14, 14];15.251524643312155;4.29428496393017;8.716518643312156;0.0;1.531518;0.9189108;5.003488;3.3753741639301693
4;Inception: 1-9;[1, 512, 14, 14];16.815874804005148;4.355494563930169;10.178852804005146;0.0;1.633534;0.9801204;5.003488;3.3753741639301693
5;Inception: 1-10;[1, 512, 14, 14];18.112024775054753;3.966724368015178;12.094754775054753;0.0;1.633534;0.9801204;4.383736;2.986603968015178
6;Inception: 1-11;[1, 512, 14, 14];19.075382054566624;3.5213685946633517;13.707264054566622;0.0;1.633534;0.9801204;3.734584;2.5412481946633516
7;Inception: 1-12;[1, 528, 14, 14];20.48034829737681;3.05475729537331;15.803670297376812;0.0;1.684542;1.0107252;2.992136;2.04403209537331
8;Inception: 1-13;[1, 832, 14, 14];22.978822616248966;3.0590660078728655;18.207888616248965;0.0;2.6545259999999997;1.5927155999999998;2.116408;1.4663504078728657
9;MaxPool2d: 1-14;[1, 832, 7, 7];19.87709528477651;1.0450069292262718;18.32467328477651;0.0;0.6637580000000001;0.3982548;0.8886639999999999;0.6467521292262718
10;Inception: 1-15;[1, 832, 7, 7];21.69945607511115;1.0450069292262718;20.14703407511115;0.0;0.6637580000000001;0.3982548;0.8886639999999999;0.6467521292262718
11;Inception: 1-16;[1, 1024, 7, 7];23.64759306268382;0.8620575825796679;22.31611506268382;0.0;0.816782;0.49006920000000004;0.5146959999999999;0.37198838257966793
12;AdaptiveAvgPool2d: 1-17;[1, 1024, 1, 1];22.875997234972118;0.010098;22.85916723497212;0.0;0.016829999999999998;0.010098;0.0;0.0
13;Linear: 1-19;[1, 1000];22.917657358606814;0.0098676;22.901211358606815;0.0;0.016446000000000002;0.0098676;0.0;0.0
