No.;Layer;Output Size;Latency [ms];Energy [mJ];Sensor Latency;Sensor Energy;Link Latency;Link Energy;Edge Latency;Edge Energy
1;Identity;(1, 3, 227, 227);5.609935102151693;3.703410938204118;0.006719102151691914;0.0;2.516478;1.5098868000000003;3.086738000000001;2.1935241382041175
2;Conv2d: 2-1;[1, 64, 113, 113];16.388944000000002;10.174847738204118;0;0;13.302206;7.9813236;3.086738000000001;2.1935241382041175
3;ReLU: 2-2;[1, 64, 113, 113];16.159102;9.982817484903979;0;0;13.302206;7.9813236;2.8568960000000008;2.0014938849039794
4;MaxPool2d: 2-3;[1, 64, 56, 56];6.123934;3.9617166849039793;0;0;3.267038;1.9602228;2.8568960000000008;2.0014938849039794
5;Fire: 2-4;[1, 128, 56, 56];9.390942;5.921921484903979;0;0;6.534046;3.9204276;2.8568960000000008;2.0014938849039794
6;Fire: 2-5;[1, 128, 56, 56];9.114974;5.71293943067844;0;0;6.534046;3.9204276;2.5809280000000006;1.7925118306784402
7;MaxPool2d: 2-6;[1, 128, 28, 28];6.880631110158324;2.531822160811153;2.9672251101583242;0.0;1.633534;0.9801204;2.279872;1.551701760811153
8;Fire: 2-7;[1, 256, 28, 28];5.5469100000000005;3.5119245608111527;0;0;3.267038;1.9602228;2.279872;1.551701760811153
9;Fire: 2-8;[1, 256, 28, 28];5.270942;3.3308695891331284;0;0;3.267038;1.9602228;2.003904;1.3706467891331284
10;MaxPool2d: 2-9;[1, 256, 14, 14];7.05061405804485;1.6532488095286653;4.530984058044851;0.0;0.816782;0.49006920000000004;1.702848;1.1631796095286653
11;Fire: 2-10;[1, 384, 14, 14];7.877311862327755;1.898336809528665;4.9492018623277545;0.0;1.2252619999999999;0.7351571999999998;1.702848;1.1631796095286653
12;Fire: 2-11;[1, 384, 14, 14];8.599110613492668;1.7900372547911885;5.830936613492668;0.0;1.2252619999999999;0.7351571999999998;1.542912;1.0548800547911887
13;Fire: 2-12;[1, 512, 14, 14];9.83878946251613;1.9185505396725522;6.831687462516129;0.0;1.633534;0.9801204;1.3735680000000001;0.9384301396725523
14;Fire: 2-13;[1, 512, 14, 14];10.293841678004862;1.7285749980607719;7.575251678004861;0.0;1.633534;0.9801204;1.085056;0.7484545980607719
15;Conv2d: 2-15;[1, 1000, 14, 14];3.974526;2.462995366859498;0;0;3.1905259999999998;1.9143156;0.784;0.5486797668594984
16;ReLU: 2-16;[1, 1000, 14, 14];3.1905259999999998;1.9143156;0;0;3.1905259999999998;1.9143156;0.0;0.0
17;AdaptiveAvgPool2d: 2-17;[1, 1000, 1, 1];9.069565615651667;0.0098676;9.053119615651667;0.0;0.016446000000000002;0.0098676;0.0;0.0
