No.;Layer;Output Size;Latency [ms];Energy [mJ];Sensor Latency;Sensor Energy;Link Latency;Link Energy;Edge Latency;Edge Energy
1;Identity;(1, 3, 224, 224);110.9325045272351;1.4701716;0.0;0.0;2.450286;1.4701716;108.48221852723509;0.0
2;MaxPool2d: 2-4;[1, 64, 56, 56];114.4563250481339;2.76189993361408;6.02112;0.8016771336140801;3.267038;1.9602228;105.16816704813391;0.0
3;Bottleneck: 3-4;[1, 512, 28, 28];176.26968103617048;14.790489089991679;75.264;10.870061489991679;6.534046;3.9204276;94.47163503617048;0.0
4;Bottleneck: 3-5;[1, 512, 28, 28];182.10386640649534;17.104446024330237;89.31327999999999;13.184018424330239;6.534046;3.9204276;86.25654040649533;0.0
5;Bottleneck: 3-6;[1, 512, 28, 28];191.20686740879842;19.4184029586688;103.36256;15.497975358668798;6.534046;3.9204276;81.3102614087984;0.0
6;Bottleneck: 3-7;[1, 512, 28, 28];204.20492293772855;21.73235989300736;117.41184000000001;17.81193229300736;6.534046;3.9204276;80.25903693772852;0.0
7;Conv2d: 2-9;[1, 512, 28, 28];1641.599181070274;272.2995448807577;1634.7340800000004;268.3791172807577;6.534046;3.9204276;0.33105507027357817;0.0
8;BatchNorm2d: 2-10;[1, 512, 28, 28];1641.5373918035089;272.2995448807577;1634.7340800000004;268.3791172807577;6.534046;3.9204276;0.2692658035084605;0.0
9;ReLU: 2-11;[1, 512, 28, 28];1641.5082836656852;272.2995448807577;1634.7340800000004;268.3791172807577;6.534046;3.9204276;0.24015766568481922;0.0
10;Conv2d: 2-13;[1, 21, 28, 28];1635.5081228482159;268.69763841894223;1635.2358400000005;268.5368204189422;0.26803;0.160818;0.004252848215401173;0.0
