No.;Partitioning Point;Layer;Latency [ms];Energy [mJ]
1;Conv2d: 2-1;Conv2d: 2-1;6.02112;0.8016771336140801
2;Bottleneck: 3-1;Conv2d: 4-1;1.00352;0.12544174862336
3;Bottleneck: 3-1;Conv2d: 4-4;6.02112;0.95231684258816
4;Bottleneck: 3-1;Conv2d: 4-7;4.01408;0.52194742419456
5;Bottleneck: 3-1;Conv2d: 5-1;4.01408;0.52194742419456
6;Bottleneck: 3-2;Conv2d: 4-11;4.01408;0.5425158290227201
7;Bottleneck: 3-2;Conv2d: 4-14;6.02112;0.95231684258816
8;Bottleneck: 3-2;Conv2d: 4-17;4.01408;0.52194742419456
9;Bottleneck: 3-3;Conv2d: 4-20;4.01408;0.5425158290227201
10;Bottleneck: 3-3;Conv2d: 4-23;6.02112;0.95231684258816
11;Bottleneck: 3-3;Conv2d: 4-26;4.01408;0.52194742419456
12;Bottleneck: 3-4;Conv2d: 4-29;8.02816;0.9507764894924801
13;Bottleneck: 3-4;Conv2d: 4-32;6.02112;1.20546319670784
14;Bottleneck: 3-4;Conv2d: 4-35;4.01408;0.57542843273216
15;Bottleneck: 3-4;Conv2d: 5-3;8.02816;1.1815026062335998
16;Bottleneck: 3-5;Conv2d: 4-39;4.01408;0.5816129328127999
17;Bottleneck: 3-5;Conv2d: 4-42;6.02112;1.1569155687936001
18;Bottleneck: 3-5;Conv2d: 4-45;4.01408;0.57542843273216
19;Bottleneck: 3-6;Conv2d: 4-48;4.01408;0.5816129328127999
20;Bottleneck: 3-6;Conv2d: 4-51;6.02112;1.1569155687936001
21;Bottleneck: 3-6;Conv2d: 4-54;4.01408;0.57542843273216
22;Bottleneck: 3-7;Conv2d: 4-57;4.01408;0.5816129328127999
23;Bottleneck: 3-7;Conv2d: 4-60;6.02112;1.1569155687936001
24;Bottleneck: 3-7;Conv2d: 4-63;4.01408;0.57542843273216
25;Bottleneck: 3-8;Conv2d: 4-66;8.02816;1.104297686016
26;Bottleneck: 3-8;Conv2d: 4-69;24.08448;4.50781655281664
27;Bottleneck: 3-8;Conv2d: 4-72;16.05632;2.2767175208959998
28;Bottleneck: 3-8;Conv2d: 5-5;32.11264;4.45126520143872
29;Bottleneck: 3-9;Conv2d: 4-76;16.05632;2.18325428228096
30;Bottleneck: 3-9;Conv2d: 4-79;24.08448;4.50781655281664
31;Bottleneck: 3-9;Conv2d: 4-82;16.05632;2.2767175208959998
32;Bottleneck: 3-10;Conv2d: 4-85;16.05632;2.18325428228096
33;Bottleneck: 3-10;Conv2d: 4-88;24.08448;4.50781655281664
34;Bottleneck: 3-10;Conv2d: 4-91;16.05632;2.2767175208959998
35;Bottleneck: 3-11;Conv2d: 4-94;16.05632;2.18325428228096
36;Bottleneck: 3-11;Conv2d: 4-97;24.08448;4.50781655281664
37;Bottleneck: 3-11;Conv2d: 4-100;16.05632;2.2767175208959998
38;Bottleneck: 3-12;Conv2d: 4-103;16.05632;2.18325428228096
39;Bottleneck: 3-12;Conv2d: 4-106;24.08448;4.50781655281664
40;Bottleneck: 3-12;Conv2d: 4-109;16.05632;2.2767175208959998
41;Bottleneck: 3-13;Conv2d: 4-112;16.05632;2.18325428228096
42;Bottleneck: 3-13;Conv2d: 4-115;24.08448;4.50781655281664
43;Bottleneck: 3-13;Conv2d: 4-118;16.05632;2.2767175208959998
44;Bottleneck: 3-14;Conv2d: 4-121;32.11264;4.459108460871679
45;Bottleneck: 3-14;Conv2d: 4-124;96.33792;17.79157476655104
46;Bottleneck: 3-14;Conv2d: 4-127;64.22528;9.773907989135358
47;Bottleneck: 3-14;Conv2d: 5-7;128.45056;17.482864765829117
48;Bottleneck: 3-15;Conv2d: 4-131;64.22528;8.86713200156672
49;Bottleneck: 3-15;Conv2d: 4-134;96.33792;17.79157476655104
50;Bottleneck: 3-15;Conv2d: 4-137;64.22528;9.773907989135358
51;Bottleneck: 3-16;Conv2d: 4-140;64.22528;8.86713200156672
52;Bottleneck: 3-16;Conv2d: 4-143;96.33792;17.79157476655104
53;Bottleneck: 3-16;Conv2d: 4-146;64.22528;9.773907989135358
54;Conv2d: 2-9;Conv2d: 2-9;385.35168;71.01546074972158
55;Conv2d: 2-13;Conv2d: 2-13;0.50176;0.15770313818448
