No.;Layer;Output Size;Latency [ms];Energy [mJ];Sensor Latency;Sensor Energy;Link Latency;Link Energy;Edge Latency;Edge Energy
1;Identity;(1, 3, 224, 224);25.556101850198267;1.4701716;0.0;0.0;2.450286;1.4701716;23.10581585019827;0.0
2;BasicConv2d: 1-1;[1, 64, 112, 112];19.088974;8.64238953361408;6.02112;0.8016771336140801;13.067854;7.8407124;0;0
3;MaxPool2d: 1-2;[1, 64, 56, 56];9.288158;2.76189993361408;6.02112;0.8016771336140801;3.267038;1.9602228;0;0
4;BasicConv2d: 1-3;[1, 64, 56, 56];10.291678;2.88734168223744;7.02464;0.9271188822374401;3.267038;1.9602228;0;0
5;BasicConv2d: 1-4;[1, 192, 56, 56];28.867725999999998;9.45659150773248;19.066879999999998;3.57608390773248;9.800846;5.8805076;0;0
6;MaxPool2d: 1-5;[1, 192, 28, 28];41.45146485990917;5.04625550773248;19.066879999999998;3.57608390773248;2.450286;1.4701716;19.934298859909177;0.0
7;Inception: 1-6;[1, 256, 28, 28];28.417758;6.8521325160192;25.15072;4.8919097160191995;3.267038;1.9602228;0;0
8;Inception: 1-7;[1, 480, 28, 28];43.569405999999994;11.362491001986559;37.443839999999994;7.68715140198656;6.125566;3.6753396;0;0
9;MaxPool2d: 1-8;[1, 480, 14, 14];53.54343322568851;8.60606220198656;37.443839999999994;7.68715140198656;1.531518;0.9189108;14.568075225688517;0.0
10;Inception: 1-9;[1, 512, 14, 14];53.699011130835046;9.1982717949184;39.56287999999999;8.218151394918399;1.633534;0.9801204;12.502597130835056;0.0
11;Inception: 1-10;[1, 512, 14, 14];54.76249366013312;9.83051443194016;42.394239999999996;8.850394031940159;1.633534;0.9801204;10.734719660133123;0.0
12;Inception: 1-11;[1, 512, 14, 14];56.09529004208886;10.52063336970752;45.70048;9.54051296970752;1.633534;0.9801204;8.761276042088866;0.0
13;Inception: 1-12;[1, 528, 14, 14];57.79956434199345;11.343428371982078;49.3472;10.332703171982079;1.684542;1.0107252;6.767822341993451;0.0
14;Inception: 1-13;[1, 832, 14, 14];61.02549527050472;12.99872967015808;54.02432000000001;11.40601407015808;2.6545259999999997;1.5927155999999998;4.346649270504713;0.0
15;MaxPool2d: 1-14;[1, 832, 7, 7];58.906082292808485;11.80426887015808;54.02432000000001;11.40601407015808;0.6637580000000001;0.3982548;4.218004292808473;0.0
16;Inception: 1-15;[1, 832, 7, 7];58.80479346780705;12.25743706448576;55.740159999999996;11.85918226448576;0.6637580000000001;0.3982548;2.4008754678070545;0.0
17;Inception: 1-16;[1, 1024, 7, 7];58.77314886356127;12.957663094381282;57.77855999999999;12.467593894381281;0.816782;0.49006920000000004;0.17780686356127262;0.0
18;AdaptiveAvgPool2d: 1-17;[1, 1024, 1, 1];57.92609947304367;12.47769189438128;57.77855999999999;12.467593894381281;0.016829999999999998;0.010098;0.1307094730436802;0.0
19;Linear: 1-19;[1, 1000];57.798942588764184;12.47746149438128;57.77855999999999;12.467593894381281;0.016446000000000002;0.0098676;0.003936588764190674;0.0
