No.;Layer;Output Size;Latency [ms];Energy [mJ];Sensor Latency;Sensor Energy;Link Latency;Link Energy;Edge Latency;Edge Energy
1;Identity;(1, 3, 224, 224);209.68971000000022;141.36965743519414;0;0;2.450286;1.4701716;207.2394240000002;139.89948583519416
2;MaxPool2d: 2-4;[1, 64, 56, 56];215.29827000000023;142.0836908483607;6.02112;0.8016771336140801;3.267038;1.9602228;206.01011200000022;139.32179091474663
3;Bottleneck: 3-4;[1, 512, 28, 28];282.58985400000023;150.58412157632023;75.264;10.870061489991679;6.534046;3.9204276;200.79180800000023;135.79363248632856
4;Bottleneck: 3-5;[1, 512, 28, 28];293.72892600000023;150.61524148926225;89.31327999999999;13.184018424330239;6.534046;3.9204276;197.88160000000022;133.51079546493202
5;Bottleneck: 3-6;[1, 512, 28, 28];306.07222200000024;151.75155669935245;103.36256;15.497975358668798;6.534046;3.9204276;196.17561600000022;132.33315374068366
6;Bottleneck: 3-7;[1, 512, 28, 28];318.41551800000025;152.88787190944265;117.41184000000001;17.81193229300736;6.534046;3.9204276;194.46963200000022;131.1555120164353
7;Conv2d: 2-9;[1, 512, 28, 28];1699.1586860000004;305.24583637542526;1634.7340800000004;268.3791172807577;6.534046;3.9204276;57.89056;32.94629149466753
8;BatchNorm2d: 2-10;[1, 512, 28, 28];1641.3559340000004;272.39894684747713;1634.7340800000004;268.3791172807577;6.534046;3.9204276;0.087808;0.09940196671941506
9;ReLU: 2-11;[1, 512, 28, 28];1641.3559340000004;272.39894684747713;1634.7340800000004;268.3791172807577;6.534046;3.9204276;0.087808;0.09940196671941506
10;Conv2d: 2-13;[1, 21, 28, 28];1635.5916780000005;268.79704038566166;1635.2358400000005;268.5368204189422;0.26803;0.160818;0.087808;0.09940196671941506
