No.;Layer;Output Size;Latency [ms];Energy [mJ];Sensor Latency;Sensor Energy;Link Latency;Link Energy;Edge Latency;Edge Energy
1;Identity;(1, 3, 224, 224);16.886862000000004;10.157962538025371;0;0;2.450286;1.4701716;14.436576000000004;8.68779093802537
2;MaxPool2d: 1-5;[1, 192, 28, 28];31.914573999999998;11.21948357443081;19.066879999999998;3.57608390773248;2.450286;1.4701716;10.397408000000002;6.1732280666983295
3;MaxPool2d: 1-8;[1, 480, 14, 14];46.346526;12.751265607705355;37.443839999999994;7.68715140198656;1.531518;0.9189108;7.371168000000003;4.145203405718794
4;Inception: 1-9;[1, 512, 14, 14];48.567581999999994;13.343475200637194;39.56287999999999;8.218151394918399;1.633534;0.9801204;7.371168000000003;4.145203405718794
5;Inception: 1-10;[1, 512, 14, 14];50.77919;13.586947641743961;42.394239999999996;8.850394031940159;1.633534;0.9801204;6.7514160000000025;3.7564332098038022
6;Inception: 1-11;[1, 512, 14, 14];53.436278;13.831710806159496;45.70048;9.54051296970752;1.633534;0.9801204;6.102264000000002;3.311077436451976
7;Inception: 1-12;[1, 528, 14, 14];56.391558;14.157289709144013;49.3472;10.332703171982079;1.684542;1.0107252;5.359816;2.8138613371619345
8;Inception: 1-13;[1, 832, 14, 14];61.16293400000001;15.234909319819568;54.02432000000001;11.40601407015808;2.6545259999999997;1.5927155999999998;4.484088;2.23617964966149
9;MaxPool2d: 1-14;[1, 832, 7, 7];57.94442200000001;13.220850241172975;54.02432000000001;11.40601407015808;0.6637580000000001;0.3982548;3.2563439999999995;1.4165813710148962
10;Inception: 1-15;[1, 832, 7, 7];59.660261999999996;13.674018435500656;55.740159999999996;11.85918226448576;0.6637580000000001;0.3982548;3.2563439999999995;1.4165813710148962
11;Inception: 1-16;[1, 1024, 7, 7];61.477717999999996;14.099480718749573;57.77855999999999;12.467593894381281;0.816782;0.49006920000000004;2.882376;1.1418176243682925
12;AdaptiveAvgPool2d: 1-17;[1, 1024, 1, 1];57.79538999999999;12.47769189438128;57.77855999999999;12.467593894381281;0.016829999999999998;0.010098;0;0
13;Linear: 1-19;[1, 1000];57.795005999999994;12.47746149438128;57.77855999999999;12.467593894381281;0.016446000000000002;0.0098676;0;0
