No.;Partitioning Point;Layer;Latency [ms];Energy [mJ]
1;BasicConv2d: 1-1;Conv2d: 2-1;6.02112;0.8016771336140801
2;BasicConv2d: 1-3;Conv2d: 2-3;1.00352;0.12544174862336
3;BasicConv2d: 1-4;Conv2d: 2-5;12.04224;2.64896502549504
4;Inception: 1-6;Conv2d: 3-1;0.50176;0.12367449034752
5;Inception: 1-6;Conv2d: 4-1;0.50176;0.17306760457728
6;Inception: 1-6;Conv2d: 4-3;4.51584;0.8708291415219199
7;Inception: 1-6;Conv2d: 4-5;0.12544;0.04979825566464
8;Inception: 1-6;Conv2d: 4-7;0.18816;0.024032648949759997
9;Inception: 1-6;Conv2d: 4-9;0.25088;0.07442366722560001
10;Inception: 1-7;Conv2d: 3-9;2.00704;0.29714173884415995
11;Inception: 1-7;Conv2d: 4-11;2.00704;0.29714173884415995
12;Inception: 1-7;Conv2d: 4-13;6.02112;1.7087073583104
13;Inception: 1-7;Conv2d: 4-15;0.50176;0.09945827881472001
14;Inception: 1-7;Conv2d: 4-17;0.75264;0.22743980566271998
15;Inception: 1-7;Conv2d: 4-19;1.00352;0.1653527654912
16;Inception: 1-9;Conv2d: 3-17;0.5376;0.14641299211008
17;Inception: 1-9;Conv2d: 4-21;0.2688;0.07482072709247999
18;Inception: 1-9;Conv2d: 4-23;1.04832;0.22066609513408
19;Inception: 1-9;Conv2d: 4-25;0.0448;0.024439527582079998
20;Inception: 1-9;Conv2d: 4-27;0.04032;0.00993172237568
21;Inception: 1-9;Conv2d: 4-29;0.1792;0.05472892863744001
22;Inception: 1-10;Conv2d: 3-25;0.5734400000000001;0.1456113537472
23;Inception: 1-10;Conv2d: 4-31;0.50176;0.09705887742655998
24;Inception: 1-10;Conv2d: 4-33;1.31712;0.27600681169152
25;Inception: 1-10;Conv2d: 4-35;0.07168000000000001;0.03288890603616
26;Inception: 1-10;Conv2d: 4-37;0.08064;0.0189007389184
27;Inception: 1-10;Conv2d: 4-39;0.28672000000000003;0.06177594920192
28;Inception: 1-11;Conv2d: 3-33;0.5734400000000001;0.10881985350144
29;Inception: 1-11;Conv2d: 4-41;0.5734400000000001;0.10881985350144
30;Inception: 1-11;Conv2d: 4-43;1.72032;0.35891363660799996
31;Inception: 1-11;Conv2d: 4-45;0.07168000000000001;0.03288890603616
32;Inception: 1-11;Conv2d: 4-47;0.08064;0.0189007389184
33;Inception: 1-11;Conv2d: 4-49;0.28672000000000003;0.06177594920192
34;Inception: 1-12;Conv2d: 3-41;0.50176;0.09705887742655998
35;Inception: 1-12;Conv2d: 4-51;0.43008;0.1178793859744
36;Inception: 1-12;Conv2d: 4-53;2.17728;0.45268978162176
37;Inception: 1-12;Conv2d: 4-55;0.14336000000000002;0.038273719481599994
38;Inception: 1-12;Conv2d: 4-57;0.10752;0.02451248856832
39;Inception: 1-12;Conv2d: 4-59;0.28672000000000003;0.06177594920192
40;Inception: 1-13;Conv2d: 3-49;0.7884800000000001;0.19303471917696
41;Inception: 1-13;Conv2d: 4-61;0.49280000000000007;0.1299983696736
42;Inception: 1-13;Conv2d: 4-63;2.6879999999999997;0.5609191693184
43;Inception: 1-13;Conv2d: 4-65;0.09856000000000001;0.03742270853952
44;Inception: 1-13;Conv2d: 4-67;0.21504;0.04782236122624
45;Inception: 1-13;Conv2d: 4-69;0.39424000000000003;0.10411357024128
46;Inception: 1-15;Conv2d: 3-57;0.46592;0.11077713817087999
47;Inception: 1-15;Conv2d: 4-71;0.23296;0.07129112690079999
48;Inception: 1-15;Conv2d: 4-73;0.6719999999999999;0.18525906627359998
49;Inception: 1-15;Conv2d: 4-75;0.05824;0.017364921921919997
50;Inception: 1-15;Conv2d: 4-77;0.05376;0.01543146179136
51;Inception: 1-15;Conv2d: 4-79;0.23296;0.053044479269119996
52;Inception: 1-16;Conv2d: 3-65;0.46592;0.16241758294912
53;Inception: 1-16;Conv2d: 4-81;0.23296;0.07581859459648001
54;Inception: 1-16;Conv2d: 4-83;0.96768;0.2705265282048
55;Inception: 1-16;Conv2d: 4-85;0.05824;0.0238500603048
56;Inception: 1-16;Conv2d: 4-87;0.08064;0.0227543845712
57;Inception: 1-16;Conv2d: 4-89;0.23296;0.053044479269119996
