No.;Layer;Output Size;Latency [ms];Energy [mJ];Sensor Latency;Sensor Energy;Link Latency;Link Energy;Edge Latency;Edge Energy
1;Identity;(1, 3, 224, 224);22.198027319239138;1.4701716;0;0;2.450286;1.4701716;19.74774131923914;0
2;BasicConv2d: 1-1;[1, 64, 112, 112];13.067854;7.8407124;0;0;13.067854;7.8407124;0;0
3;MaxPool2d: 1-2;[1, 64, 56, 56];3.267038;1.9602228;0;0;3.267038;1.9602228;0;0
4;BasicConv2d: 1-3;[1, 64, 56, 56];3.267038;1.9602228;0;0;3.267038;1.9602228;0;0
5;BasicConv2d: 1-4;[1, 192, 56, 56];9.800846;5.8805076;0;0;9.800846;5.8805076;0;0
6;MaxPool2d: 1-5;[1, 192, 28, 28];19.554725564049242;1.4701716;0;0;2.450286;1.4701716;17.104439564049244;0
7;Inception: 1-6;[1, 256, 28, 28];3.267038;1.9602228;0;0;3.267038;1.9602228;0;0
8;Inception: 1-7;[1, 480, 28, 28];6.125566;3.6753396;0;0;6.125566;3.6753396;0;0
9;MaxPool2d: 1-8;[1, 480, 14, 14];14.58268348575461;0.9189108;0;0;1.531518;0.9189108;13.051165485754609;0
10;Inception: 1-9;[1, 512, 14, 14];12.753304418852569;0.9801204;0;0;1.633534;0.9801204;11.119770418852568;0
11;Inception: 1-10;[1, 512, 14, 14];10.961368440395237;0.9801204;0;0;1.633534;0.9801204;9.327834440395236;0
12;Inception: 1-11;[1, 512, 14, 14];9.325103671034814;0.9801204;0;0;1.633534;0.9801204;7.691569671034813;0
13;Inception: 1-12;[1, 528, 14, 14];7.636460749138713;1.0107252;0;0;1.684542;1.0107252;5.951918749138713;0
14;Inception: 1-13;[1, 832, 14, 14];6.508068052209377;1.5927155999999998;0;0;2.6545259999999997;1.5927155999999998;3.8535420522093773;0
15;MaxPool2d: 1-14;[1, 832, 7, 7];4.456314071653962;0.3982548;0;0;0.6637580000000001;0.3982548;3.792556071653962;0
16;Inception: 1-15;[1, 832, 7, 7];2.7816870656000376;0.3982548;0;0;0.6637580000000001;0.3982548;2.1179290656000376;0
17;Inception: 1-16;[1, 1024, 7, 7];1.032343170130968;0.49006920000000004;0;0;0.816782;0.49006920000000004;0.2155611701309681;0
18;AdaptiveAvgPool2d: 1-17;[1, 1024, 1, 1];0.1391229134964943;0.010098;0;0;0.016829999999999998;0.010098;0.1222929134964943;0
19;Linear: 1-19;[1, 1000];0.020667176728606226;0.0098676;0;0;0.016446000000000002;0.0098676;0.004221176728606224;0
