No.;Layer;Output Size;Latency [ms];Energy [mJ];Sensor Latency;Sensor Energy;Link Latency;Link Energy;Edge Latency;Edge Energy
1;Identity;(1, 3, 227, 227);10.01044763790059;1.5098868000000003;0;0;2.516478;1.5098868000000003;7.493969637900591;0
2;Conv2d: 2-1;[1, 64, 113, 113];13.302206;7.9813236;0;0;13.302206;7.9813236;0;0
3;ReLU: 2-2;[1, 64, 113, 113];13.302206;7.9813236;0;0;13.302206;7.9813236;0;0
4;MaxPool2d: 2-3;[1, 64, 56, 56];3.267038;1.9602228;0;0;3.267038;1.9602228;0;0
5;Fire: 2-4;[1, 128, 56, 56];6.534046;3.9204276;0;0;6.534046;3.9204276;0;0
6;Fire: 2-5;[1, 128, 56, 56];6.534046;3.9204276;0;0;6.534046;3.9204276;0;0
7;MaxPool2d: 2-6;[1, 128, 28, 28];6.620900016954184;0.9801204;0;0;1.633534;0.9801204;4.987366016954184;0
8;Fire: 2-7;[1, 256, 28, 28];3.267038;1.9602228;0;0;3.267038;1.9602228;0;0
9;Fire: 2-8;[1, 256, 28, 28];3.267038;1.9602228;0;0;3.267038;1.9602228;0;0
10;MaxPool2d: 2-9;[1, 256, 14, 14];4.5138244856990575;0.49006920000000004;0;0;0.816782;0.49006920000000004;3.6970424856990576;0
11;Fire: 2-10;[1, 384, 14, 14];4.221190334072232;0.7351571999999998;0;0;1.2252619999999999;0.7351571999999998;2.9959283340722322;0
12;Fire: 2-11;[1, 384, 14, 14];3.290810716112971;0.7351571999999998;0;0;1.2252619999999999;0.7351571999999998;2.0655487161129713;0
13;Fire: 2-12;[1, 512, 14, 14];3.048277473753333;0.9801204;0;0;1.633534;0.9801204;1.414743473753333;0
14;Fire: 2-13;[1, 512, 14, 14];2.3739725581612587;0.9801204;0;0;1.633534;0.9801204;0.7404385581612587;0
15;Conv2d: 2-15;[1, 1000, 14, 14];3.1905259999999998;1.9143156;0;0;3.1905259999999998;1.9143156;0;0
16;ReLU: 2-16;[1, 1000, 14, 14];3.1905259999999998;1.9143156;0;0;3.1905259999999998;1.9143156;0;0
17;AdaptiveAvgPool2d: 2-17;[1, 1000, 1, 1];0.02078405771172047;0.0098676;0;0;0.016446000000000002;0.0098676;0.004338057711720467;0
