No.;Layer;Output Size;Latency [ms];Energy [mJ];Sensor Latency;Sensor Energy;Link Latency;Link Energy;Edge Latency;Edge Energy
1;Identity;(1, 3, 224, 224);2.459451620431304;1.4701716;0.009165620431303978;0;2.450286;1.4701716;0;0
2;Conv2d: 2-1;[1, 64, 112, 112];13.067854;7.8407124;0;0;13.067854;7.8407124;0;0
3;BatchNorm2d: 2-2;[1, 64, 112, 112];13.067854;7.8407124;0;0;13.067854;7.8407124;0;0
4;ReLU: 2-3;[1, 64, 112, 112];13.067854;7.8407124;0;0;13.067854;7.8407124;0;0
5;MaxPool2d: 2-4;[1, 64, 56, 56];4.074438587946176;1.9602228;0.8074005879461765;0;3.267038;1.9602228;0;0
6;Bottleneck: 3-1;[1, 256, 56, 56];13.067854;7.8407124;0;0;13.067854;7.8407124;0;0
7;Bottleneck: 3-2;[1, 256, 56, 56];13.067854;7.8407124;0;0;13.067854;7.8407124;0;0
8;Bottleneck: 3-3;[1, 256, 56, 56];13.067854;7.8407124;0;0;13.067854;7.8407124;0;0
9;Bottleneck: 3-4;[1, 512, 28, 28];15.765208395328283;3.9204276;9.231162395328283;0;6.534046;3.9204276;0;0
10;Bottleneck: 3-5;[1, 512, 28, 28];14.540007086601019;3.9204276;8.005961086601019;0;6.534046;3.9204276;0;0
11;Bottleneck: 3-6;[1, 512, 28, 28];16.01765887266016;3.9204276;9.48361287266016;0;6.534046;3.9204276;0;0
12;Bottleneck: 3-7;[1, 512, 28, 28];17.13647498389697;3.9204276;10.60242898389697;0;6.534046;3.9204276;0;0
13;Bottleneck: 3-8;[1, 1024, 28, 28];13.067854;7.8407124;0;0;13.067854;7.8407124;0;0
14;Bottleneck: 3-9;[1, 1024, 28, 28];13.067854;7.8407124;0;0;13.067854;7.8407124;0;0
15;Bottleneck: 3-10;[1, 1024, 28, 28];13.067854;7.8407124;0;0;13.067854;7.8407124;0;0
16;Bottleneck: 3-11;[1, 1024, 28, 28];13.067854;7.8407124;0;0;13.067854;7.8407124;0;0
17;Bottleneck: 3-12;[1, 1024, 28, 28];13.067854;7.8407124;0;0;13.067854;7.8407124;0;0
18;Bottleneck: 3-13;[1, 1024, 28, 28];13.067854;7.8407124;0;0;13.067854;7.8407124;0;0
19;Bottleneck: 3-14;[1, 2048, 28, 28];26.13547;15.681282000000001;0;0;26.13547;15.681282000000001;0;0
20;Bottleneck: 3-15;[1, 2048, 28, 28];26.13547;15.681282000000001;0;0;26.13547;15.681282000000001;0;0
21;Bottleneck: 3-16;[1, 2048, 28, 28];26.13547;15.681282000000001;0;0;26.13547;15.681282000000001;0;0
22;Conv2d: 2-9;[1, 512, 28, 28];88.20492686530567;3.9204276;81.67088086530566;0;6.534046;3.9204276;0;0
23;BatchNorm2d: 2-10;[1, 512, 28, 28];87.9286650495044;3.9204276;81.3946190495044;0;6.534046;3.9204276;0;0
24;ReLU: 2-11;[1, 512, 28, 28];89.6244717632792;3.9204276;83.0904257632792;0;6.534046;3.9204276;0;0
25;Conv2d: 2-13;[1, 21, 28, 28];85.32053275321304;0.160818;85.05250275321305;0;0.26803;0.160818;0;0
