No.;Layer;Output Size;Latency [ms];Energy [mJ];Sensor Latency;Sensor Energy;Link Latency;Link Energy;Edge Latency;Edge Energy
1;Identity;(1, 3, 224, 224);2.4603018508867027;1.4701716;0.010015850886702538;0;2.450286;1.4701716;0;0
2;MaxPool2d: 1-5;[1, 192, 28, 28];5.19673591569221;1.4701716;2.74644991569221;0;2.450286;1.4701716;0;0
3;MaxPool2d: 1-8;[1, 480, 14, 14];7.738875680425048;0.9189108;6.207357680425048;0;1.531518;0.9189108;0;0
4;Inception: 1-9;[1, 512, 14, 14];9.681400299748422;0.9801204;8.04786629974842;0;1.633534;0.9801204;0;0
5;Inception: 1-10;[1, 512, 14, 14];11.126017884096147;0.9801204;9.492483884096146;0;1.633534;0.9801204;0;0
6;Inception: 1-11;[1, 512, 14, 14];12.856849259441734;0.9801204;11.223315259441733;0;1.633534;0.9801204;0;0
7;Inception: 1-12;[1, 528, 14, 14];14.788530386690617;1.0107252;13.103988386690617;0;1.684542;1.0107252;0;0
8;Inception: 1-13;[1, 832, 14, 14];18.148677080027223;1.5927155999999998;15.494151080027223;0;2.6545259999999997;1.5927155999999998;0;0
9;MaxPool2d: 1-14;[1, 832, 7, 7];16.008615685267927;0.3982548;15.344857685267925;0;0.6637580000000001;0.3982548;0;0
10;Inception: 1-15;[1, 832, 7, 7];17.41651746967304;0.3982548;16.752759469673038;0;0.6637580000000001;0.3982548;0;0
11;Inception: 1-16;[1, 1024, 7, 7];19.63922238209319;0.49006920000000004;18.82244038209319;0;0.816782;0.49006920000000004;0;0
12;AdaptiveAvgPool2d: 1-17;[1, 1024, 1, 1];18.94544507833004;0.010098;18.92861507833004;0;0.016829999999999998;0.010098;0;0
13;Linear: 1-19;[1, 1000];19.473268196021674;0.0098676;19.456822196021676;0;0.016446000000000002;0.0098676;0;0
