No.;Layer;Output Size;Latency [ms];Energy [mJ];Sensor Latency;Sensor Energy;Link Latency;Link Energy;Edge Latency;Edge Energy
1;Identity;(1, 3, 227, 227);2.5280499716995957;1.5098868000000003;0.011571971699595451;0;2.516478;1.5098868000000003;0;0
2;Conv2d: 2-1;[1, 64, 113, 113];13.302206;7.9813236;0;0;13.302206;7.9813236;0;0
3;ReLU: 2-2;[1, 64, 113, 113];13.302206;7.9813236;0;0;13.302206;7.9813236;0;0
4;MaxPool2d: 2-3;[1, 64, 56, 56];3.267038;1.9602228;0;0;3.267038;1.9602228;0;0
5;Fire: 2-4;[1, 128, 56, 56];6.534046;3.9204276;0;0;6.534046;3.9204276;0;0
6;Fire: 2-5;[1, 128, 56, 56];6.534046;3.9204276;0;0;6.534046;3.9204276;0;0
7;MaxPool2d: 2-6;[1, 128, 28, 28];4.169663783838987;0.9801204;2.5361297838389874;0;1.633534;0.9801204;0;0
8;Fire: 2-7;[1, 256, 28, 28];3.267038;1.9602228;0;0;3.267038;1.9602228;0;0
9;Fire: 2-8;[1, 256, 28, 28];3.267038;1.9602228;0;0;3.267038;1.9602228;0;0
10;MaxPool2d: 2-9;[1, 256, 14, 14];4.47158032701385;0.49006920000000004;3.65479832701385;0;0.816782;0.49006920000000004;0;0
11;Fire: 2-10;[1, 384, 14, 14];5.611287751009583;0.7351571999999998;4.3860257510095835;0;1.2252619999999999;0.7351571999999998;0;0
12;Fire: 2-11;[1, 384, 14, 14];6.182424201404571;0.7351571999999998;4.9571622014045715;0;1.2252619999999999;0.7351571999999998;0;0
13;Fire: 2-12;[1, 512, 14, 14];7.685185308313012;0.9801204;6.051651308313012;0;1.633534;0.9801204;0;0
14;Fire: 2-13;[1, 512, 14, 14];8.434734468093158;0.9801204;6.801200468093157;0;1.633534;0.9801204;0;0
15;Conv2d: 2-15;[1, 1000, 14, 14];3.1905259999999998;1.9143156;0;0;3.1905259999999998;1.9143156;0;0
16;ReLU: 2-16;[1, 1000, 14, 14];3.1905259999999998;1.9143156;0;0;3.1905259999999998;1.9143156;0;0
17;AdaptiveAvgPool2d: 2-17;[1, 1000, 1, 1];7.223264483769894;0.0098676;7.206818483769894;0;0.016446000000000002;0.0098676;0;0
