No.;Layer;Output Size;Latency [ms];Energy [mJ];Sensor Latency;Sensor Energy;Link Latency;Link Energy;Edge Latency;Edge Energy
1;Identity;(1, 3, 224, 224);107.95643815767176;1.4701716;0.0;0.0;2.450286;1.4701716;105.50615215767175;0.0
2;MaxPool2d: 2-4;[1, 64, 56, 56];107.56992987761498;2.537917720447529;1.229312;0.5776949204475289;3.267038;1.9602228;103.07357987761497;0.0
3;Bottleneck: 3-4;[1, 512, 28, 28];108.75867360883474;10.31577309914534;9.357824;6.395345499145339;6.534046;3.9204276;92.86680360883474;0.0
4;Bottleneck: 3-5;[1, 512, 28, 28];108.51475232694828;11.493414823393724;11.063808000000002;7.572987223393723;6.534046;3.9204276;90.91689832694829;0.0
5;Bottleneck: 3-6;[1, 512, 28, 28];109.29999052856165;12.67105654764211;12.769792000000002;8.75062894764211;6.534046;3.9204276;89.99615252856165;0.0
6;Bottleneck: 3-7;[1, 512, 28, 28];108.44690819195968;13.848698271890495;14.475776000000003;9.928270671890495;6.534046;3.9204276;87.43708619195968;0.0
7;Conv2d: 2-9;[1, 512, 28, 28];214.02150666297177;143.72716659735812;207.151616;139.8067389973581;6.534046;3.9204276;0.3358446629717946;0.0
8;BatchNorm2d: 2-10;[1, 512, 28, 28];213.96332460690985;143.72716659735812;207.151616;139.8067389973581;6.534046;3.9204276;0.2776626069098711;0.0
9;ReLU: 2-11;[1, 512, 28, 28];213.93156391990135;143.72716659735812;207.151616;139.8067389973581;6.534046;3.9204276;0.245901919901371;0.0
10;Conv2d: 2-13;[1, 21, 28, 28];207.51198889646315;140.06695896407754;207.23942399999999;139.90614096407754;0.26803;0.160818;0.0045348964631557465;0.0
