No.;Layer;Output Size;Latency [ms];Energy [mJ];Sensor Latency;Sensor Energy;Link Latency;Link Energy;Edge Latency;Edge Energy
1;Identity;(1, 3, 224, 224);2.466786;0.2361584279737642;0;0;2.466786;0.2361584279737642;0;0
2;Conv2d: 2-1;[1, 64, 112, 112];14.313666;3.7056723378470084;1.229312;0.5776949204475289;13.084354;3.1279774173994794;0;0
3;BatchNorm2d: 2-2;[1, 64, 112, 112];14.313666;3.7056723378470084;1.229312;0.5776949204475289;13.084354;3.1279774173994794;0;0
4;ReLU: 2-3;[1, 64, 112, 112];14.313666;3.7056723378470084;1.229312;0.5776949204475289;13.084354;3.1279774173994794;0;0
5;MaxPool2d: 2-4;[1, 64, 56, 56];4.51285;0.9282482511757206;1.229312;0.5776949204475289;3.283538;0.3505533307281918;0;0
6;Bottleneck: 3-1;[1, 256, 56, 56];16.120002;4.916277178502428;3.035648;1.7882997611029483;13.084354;3.1279774173994794;0;0
7;Bottleneck: 3-2;[1, 256, 56, 56];17.825986;6.043884487089415;4.741632;2.915907069689936;13.084354;3.1279774173994794;0;0
8;Bottleneck: 3-3;[1, 256, 56, 56];19.53197;7.171491795676403;6.447616;4.043514378276924;13.084354;3.1279774173994794;0;0
9;Bottleneck: 3-4;[1, 512, 28, 28];15.908370000000001;7.172658801309831;9.357824;6.184424276278339;6.550546000000001;0.9882345250314928;0;0
10;Bottleneck: 3-5;[1, 512, 28, 28];17.614354000000002;8.258230131303495;11.063808000000002;7.269995606272003;6.550546000000001;0.9882345250314928;0;0
11;Bottleneck: 3-6;[1, 512, 28, 28];19.320338000000003;9.34380146129716;12.769792000000002;8.355566936265667;6.550546000000001;0.9882345250314928;0;0
12;Bottleneck: 3-7;[1, 512, 28, 28];21.026322000000004;10.429372791290824;14.475776000000003;9.441138266259332;6.550546000000001;0.9882345250314928;0;0
13;Bottleneck: 3-8;[1, 1024, 28, 28];36.792514000000004;19.33896287250655;23.708160000000003;16.21098545510707;13.084354;3.1279774173994794;0;0
14;Bottleneck: 3-9;[1, 1024, 28, 28];43.61645;23.876535293028024;30.532096000000003;20.748557875628546;13.084354;3.1279774173994794;0;0
15;Bottleneck: 3-10;[1, 1024, 28, 28];50.440386;28.414107713549498;37.356032;25.28613029615002;13.084354;3.1279774173994794;0;0
16;Bottleneck: 3-11;[1, 1024, 28, 28];57.264322;32.951680134070976;44.179968;29.823702716671495;13.084354;3.1279774173994794;0;0
17;Bottleneck: 3-12;[1, 1024, 28, 28];64.08825800000001;37.48925255459245;51.003904000000006;34.36127513719297;13.084354;3.1279774173994794;0;0
18;Bottleneck: 3-13;[1, 1024, 28, 28];70.91219400000001;42.026824975113925;57.82784000000001;38.89884755771445;13.084354;3.1279774173994794;0;0
19;Bottleneck: 3-14;[1, 2048, 28, 28];120.90934600000001;76.53663995386763;94.75737600000001;65.67200265402651;26.151970000000002;10.86463729984112;0;0
20;Bottleneck: 3-15;[1, 2048, 28, 28];148.20509;95.72573884970073;122.05312;84.86110154985961;26.151970000000002;10.86463729984112;0;0
21;Bottleneck: 3-16;[1, 2048, 28, 28];175.500834;114.91483774553383;149.348864;104.05020044569271;26.151970000000002;10.86463729984112;0;0
22;Conv2d: 2-9;[1, 512, 28, 28];213.702162;137.7591514174041;207.151616;136.7709168923726;6.550546000000001;0.9882345250314928;0;0
23;BatchNorm2d: 2-10;[1, 512, 28, 28];213.702162;137.7591514174041;207.151616;136.7709168923726;6.550546000000001;0.9882345250314928;0;0
24;ReLU: 2-11;[1, 512, 28, 28];213.702162;137.7591514174041;207.151616;136.7709168923726;6.550546000000001;0.9882345250314928;0;0
25;Conv2d: 2-13;[1, 21, 28, 28];207.52395399999997;136.87264164204325;207.23942399999999;136.85378407008872;0.28453;0.01885757195451727;0;0
