No.;Layer;Output Size;Latency [ms];Energy [mJ];Sensor Latency;Sensor Energy;Link Latency;Link Energy;Edge Latency;Edge Energy
1;Identity;(1, 3, 224, 224);2.450286;1.4701716;0;0;2.450286;1.4701716;0;0
2;BasicConv2d: 1-1;[1, 64, 112, 112];14.297166;8.418407320447528;1.229312;0.5776949204475289;13.067854;7.8407124;0;0
3;MaxPool2d: 1-2;[1, 64, 56, 56];4.49635;2.537917720447529;1.229312;0.5776949204475289;3.267038;1.9602228;0;0
4;BasicConv2d: 1-3;[1, 64, 56, 56];4.596702;2.6279345966900407;1.329664;0.6677117966900407;3.267038;1.9602228;0;0
5;BasicConv2d: 1-4;[1, 192, 56, 56];13.840014;8.395070471327042;4.039168;2.514562871327042;9.800846;5.8805076;0;0
6;MaxPool2d: 1-5;[1, 192, 28, 28];6.489454;3.984734471327042;4.039168;2.514562871327042;2.450286;1.4701716;0;0
7;Inception: 1-6;[1, 256, 28, 28];8.256414;5.096351781709626;4.989376;3.1361289817096263;3.267038;1.9602228;0;0
8;Inception: 1-7;[1, 480, 28, 28];13.190974;8.111883395675392;7.065408000000001;4.436543795675393;6.125566;3.6753396;0;0
9;MaxPool2d: 1-8;[1, 480, 14, 14];8.596926;5.3554545956753925;7.065408000000001;4.436543795675393;1.531518;0.9189108;0;0
10;Inception: 1-9;[1, 512, 14, 14];9.25519;5.802238823813927;7.621656000000001;4.822118423813928;1.633534;0.9801204;0;0
11;Inception: 1-10;[1, 512, 14, 14];9.904342;6.23593229142032;8.270808;5.25581189142032;1.633534;0.9801204;0;0
12;Inception: 1-11;[1, 512, 14, 14];10.646790000000003;6.725909484287386;9.013256000000002;5.745789084287386;1.633534;0.9801204;0;0
13;Inception: 1-12;[1, 528, 14, 14];11.573526000000003;7.327272796335478;9.888984000000002;6.316547596335478;1.684542;1.0107252;0;0
14;Inception: 1-13;[1, 832, 14, 14];13.771254000000003;8.720354724496904;11.116728000000002;7.127639124496905;2.6545259999999997;1.5927155999999998;0;0
15;MaxPool2d: 1-14;[1, 832, 7, 7];11.780486000000002;7.525893924496905;11.116728000000002;7.127639124496905;0.6637580000000001;0.3982548;0;0
16;Inception: 1-15;[1, 832, 7, 7];12.154454000000001;7.800657671143509;11.490696000000002;7.402402871143509;0.6637580000000001;0.3982548;0;0
17;Inception: 1-16;[1, 1024, 7, 7];12.822174;8.264460453723176;12.005392;7.774391253723176;0.816782;0.49006920000000004;0;0
18;AdaptiveAvgPool2d: 1-17;[1, 1024, 1, 1];12.022222000000001;7.7844892537231765;12.005392;7.774391253723176;0.016829999999999998;0.010098;0;0
19;Linear: 1-19;[1, 1000];12.021838;7.784258853723176;12.005392;7.774391253723176;0.016446000000000002;0.0098676;0;0
