No.;Layer;Output Size;Latency [ms];Energy [mJ];Sensor Latency;Sensor Energy;Link Latency;Link Energy;Edge Latency;Edge Energy
1;Identity;(1, 3, 224, 224);209.69880085496118;141.37631256407732;0.009090854960959405;0.0;2.450286;1.4701716;207.2394240000002;139.90614096407734
2;MaxPool2d: 2-4;[1, 64, 56, 56];215.65271996697118;141.2886688436298;6.375569966970943;0.0;3.267038;1.9602228;206.01011200000022;139.3284460436298
3;Bottleneck: 3-4;[1, 512, 28, 28];231.97247949999797;139.71406008632857;24.646625499997754;0.0;6.534046;3.9204276;200.79180800000023;135.79363248632856
4;Bottleneck: 3-5;[1, 512, 28, 28];231.72640237298657;137.43122306493203;27.31075637298636;0.0;6.534046;3.9204276;197.88160000000022;133.51079546493202
5;Bottleneck: 3-6;[1, 512, 28, 28];234.56842702702033;136.25358134068367;31.858765027020127;0.0;6.534046;3.9204276;196.17561600000022;132.33315374068366
6;Bottleneck: 3-7;[1, 512, 28, 28];234.42414356598528;135.0759396164353;33.42046556598507;0.0;6.534046;3.9204276;194.46963200000022;131.1555120164353
7;Conv2d: 2-9;[1, 512, 28, 28];280.01369276495774;36.86671909466753;215.58908676495776;0.0;6.534046;3.9204276;57.89056;32.94629149466753
8;BatchNorm2d: 2-10;[1, 512, 28, 28];218.13827647498965;4.019829566719415;211.51642247498967;0.0;6.534046;3.9204276;0.087808;0.09940196671941506
9;ReLU: 2-11;[1, 512, 28, 28];216.988397246957;4.019829566719415;210.366543246957;0.0;6.534046;3.9204276;0.087808;0.09940196671941506
10;Conv2d: 2-13;[1, 21, 28, 28];208.50215258197255;0.26021996671941505;208.14631458197255;0.0;0.26803;0.160818;0.087808;0.09940196671941506
