No.;Layer;Output Size;Latency [ms];Energy [mJ];Sensor Latency;Sensor Energy;Link Latency;Link Energy;Edge Latency;Edge Energy
1;Identity;(1, 3, 224, 224);216.79770049102876;1.4701716;0.0;0.0;2.450286;1.4701716;214.34741449102876;0.0
2;MaxPool2d: 2-4;[1, 64, 56, 56];211.76591869497923;2.76189993361408;6.02112;0.8016771336140801;3.267038;1.9602228;202.47776069497922;0.0
3;Bottleneck: 3-4;[1, 512, 28, 28];239.811247002992;14.790489089991679;75.264;10.870061489991679;6.534046;3.9204276;158.013201002992;0.0
4;Bottleneck: 3-5;[1, 512, 28, 28];251.3270527850081;17.104446024330237;89.31327999999999;13.184018424330239;6.534046;3.9204276;155.4797267850081;0.0
5;Bottleneck: 3-6;[1, 512, 28, 28];262.4986204899958;19.4184029586688;103.36256;15.497975358668798;6.534046;3.9204276;152.60201448999578;0.0
6;Bottleneck: 3-7;[1, 512, 28, 28];274.16650518399416;21.73235989300736;117.41184000000001;17.81193229300736;6.534046;3.9204276;150.22061918399413;0.0
7;Conv2d: 2-9;[1, 512, 28, 28];1641.8279857649954;272.2995448807577;1634.7340800000004;268.3791172807577;6.534046;3.9204276;0.5598597649950534;0.0
8;BatchNorm2d: 2-10;[1, 512, 28, 28];1641.6401275590083;272.2995448807577;1634.7340800000004;268.3791172807577;6.534046;3.9204276;0.3720015590079129;0.0
9;ReLU: 2-11;[1, 512, 28, 28];1641.5153477490144;272.2995448807577;1634.7340800000004;268.3791172807577;6.534046;3.9204276;0.2472217490139883;0.0
10;Conv2d: 2-13;[1, 21, 28, 28];1635.5085771230079;268.69763841894223;1635.2358400000005;268.5368204189422;0.26803;0.160818;0.004707123007392511;0.0
