No.;Layer;Output Size;Latency [ms];Energy [mJ];Sensor Latency;Sensor Energy;Link Latency;Link Energy;Edge Latency;Edge Energy
1;Identity;(1, 3, 224, 224);216.79770049102876;1.4701716;0.0;0.0;2.450286;1.4701716;214.34741449102876;0.0
2;Conv2d: 2-1;[1, 64, 112, 112];19.088974;8.64238953361408;6.02112;0.8016771336140801;13.067854;7.8407124;0;0
3;BatchNorm2d: 2-2;[1, 64, 112, 112];19.088974;8.64238953361408;6.02112;0.8016771336140801;13.067854;7.8407124;0;0
4;ReLU: 2-3;[1, 64, 112, 112];19.088974;8.64238953361408;6.02112;0.8016771336140801;13.067854;7.8407124;0;0
5;MaxPool2d: 2-4;[1, 64, 56, 56];211.76591869497923;2.76189993361408;6.02112;0.8016771336140801;3.267038;1.9602228;202.47776069497922;0.0
6;Bottleneck: 3-1;[1, 256, 56, 56];34.141774;10.76404297321472;21.07392;2.9233305732147197;13.067854;7.8407124;0;0
7;Bottleneck: 3-2;[1, 256, 56, 56];48.191053999999994;12.78082306902016;35.1232;4.94011066902016;13.067854;7.8407124;0;0
8;Bottleneck: 3-3;[1, 256, 56, 56];62.240334000000004;14.797603164825599;49.17248;6.9568907648256;13.067854;7.8407124;0;0
9;Bottleneck: 3-4;[1, 512, 28, 28];239.811247002992;14.790489089991679;75.264;10.870061489991679;6.534046;3.9204276;158.013201002992;0.0
10;Bottleneck: 3-5;[1, 512, 28, 28];251.3270527850081;17.104446024330237;89.31327999999999;13.184018424330239;6.534046;3.9204276;155.4797267850081;0.0
11;Bottleneck: 3-6;[1, 512, 28, 28];262.4986204899958;19.4184029586688;103.36256;15.497975358668798;6.534046;3.9204276;152.60201448999578;0.0
12;Bottleneck: 3-7;[1, 512, 28, 28];274.16650518399416;21.73235989300736;117.41184000000001;17.81193229300736;6.534046;3.9204276;150.22061918399413;0.0
13;Bottleneck: 3-8;[1, 1024, 28, 28];210.76129400000002;37.992741654174715;197.69344;30.152029254174717;13.067854;7.8407124;0;0
14;Bottleneck: 3-9;[1, 1024, 28, 28];266.958414;46.96053001016832;253.89056000000002;39.11981761016832;13.067854;7.8407124;0;0
15;Bottleneck: 3-10;[1, 1024, 28, 28];323.155534;55.928318366161925;310.08768;48.087605966161924;13.067854;7.8407124;0;0
16;Bottleneck: 3-11;[1, 1024, 28, 28];379.35265400000003;64.89610672215552;366.2848;57.05539432215553;13.067854;7.8407124;0;0
17;Bottleneck: 3-12;[1, 1024, 28, 28];435.54977400000007;73.86389507814914;422.48192000000006;66.02318267814914;13.067854;7.8407124;0;0
18;Bottleneck: 3-13;[1, 1024, 28, 28];491.7468940000001;82.83168343414273;478.6790400000001;74.99097103414273;13.067854;7.8407124;0;0
19;Bottleneck: 3-14;[1, 2048, 28, 28];825.9409100000001;140.17970901652993;799.8054400000001;124.49842701652992;26.13547;15.681282000000001;0;0
20;Bottleneck: 3-15;[1, 2048, 28, 28];1050.7293900000002;176.61232377378303;1024.5939200000003;160.93104177378302;26.13547;15.681282000000001;0;0
21;Bottleneck: 3-16;[1, 2048, 28, 28];1275.5178700000004;213.04493853103614;1249.3824000000004;197.36365653103613;26.13547;15.681282000000001;0;0
22;Conv2d: 2-9;[1, 512, 28, 28];1641.8279857649954;272.2995448807577;1634.7340800000004;268.3791172807577;6.534046;3.9204276;0.5598597649950534;0.0
23;BatchNorm2d: 2-10;[1, 512, 28, 28];1641.6401275590083;272.2995448807577;1634.7340800000004;268.3791172807577;6.534046;3.9204276;0.3720015590079129;0.0
24;ReLU: 2-11;[1, 512, 28, 28];1641.5153477490144;272.2995448807577;1634.7340800000004;268.3791172807577;6.534046;3.9204276;0.2472217490139883;0.0
25;Conv2d: 2-13;[1, 21, 28, 28];1635.5085771230079;268.69763841894223;1635.2358400000005;268.5368204189422;0.26803;0.160818;0.004707123007392511;0.0
