No.;Layer;Output Size;Latency [ms];Energy [mJ];Sensor Latency;Sensor Energy;Link Latency;Link Energy;Edge Latency;Edge Energy
1;Identity;(1, 3, 224, 224);209.00115819999405;1.4701716;0.0;0.0;2.450286;1.4701716;206.55087219999405;0.0
2;MaxPool2d: 2-4;[1, 64, 56, 56];205.97565233099033;2.537917720447529;1.229312;0.5776949204475289;3.267038;1.9602228;201.47930233099032;0.0
3;Bottleneck: 3-4;[1, 512, 28, 28];199.77122592100258;10.31577309914534;9.357824;6.395345499145339;6.534046;3.9204276;183.87935592100257;0.0
4;Bottleneck: 3-5;[1, 512, 28, 28];199.35348289798313;11.493414823393724;11.063808000000002;7.572987223393723;6.534046;3.9204276;181.75562889798312;0.0
5;Bottleneck: 3-6;[1, 512, 28, 28];200.27562835199225;12.67105654764211;12.769792000000002;8.75062894764211;6.534046;3.9204276;180.97179035199224;0.0
6;Bottleneck: 3-7;[1, 512, 28, 28];171.33117131898328;13.848698271890495;14.475776000000003;9.928270671890495;6.534046;3.9204276;150.32134931898327;0.0
7;Conv2d: 2-9;[1, 512, 28, 28];214.25496611997016;143.72716659735812;207.151616;139.8067389973581;6.534046;3.9204276;0.5693041199701838;0.0
8;BatchNorm2d: 2-10;[1, 512, 28, 28];214.05971047101423;143.72716659735812;207.151616;139.8067389973581;6.534046;3.9204276;0.3740484710142482;0.0
9;ReLU: 2-11;[1, 512, 28, 28];213.93902292399082;143.72716659735812;207.151616;139.8067389973581;6.534046;3.9204276;0.2533609239908401;0.0
10;Conv2d: 2-13;[1, 21, 28, 28];207.51214596899212;140.06695896407754;207.23942399999999;139.90614096407754;0.26803;0.160818;0.004691968992119655;0.0
