No.;Layer;Output Size;Latency [ms];Energy [mJ];Sensor Latency;Sensor Energy;Link Latency;Link Energy;Edge Latency;Edge Energy
1;Identity;(1, 3, 224, 224);62.43169604599165;1.4701716;0.0;0.0;2.450286;1.4701716;59.98141004599165;0.0
2;MaxPool2d: 1-5;[1, 192, 28, 28];57.7213375699989;3.984734471327042;4.039168;2.514562871327042;2.450286;1.4701716;51.2318835699989;0.0
3;MaxPool2d: 1-8;[1, 480, 14, 14];40.74756380502532;5.46149833230658;7.065408000000001;4.54258753230658;1.531518;0.9189108;32.150637805025326;0.0
4;Inception: 1-9;[1, 512, 14, 14];37.3617342700149;5.911478128221572;7.685160000000001;4.931357728221572;1.633534;0.9801204;28.0430402700149;0.0
5;Inception: 1-10;[1, 512, 14, 14];33.39850060101934;6.356833901573397;8.334312;5.376713501573398;1.633534;0.9801204;23.43065460101934;0.0
6;Inception: 1-11;[1, 512, 14, 14];31.18854302299908;6.854050000863437;9.076760000000002;5.873929600863438;1.633534;0.9801204;20.47824902299908;0.0
7;Inception: 1-12;[1, 528, 14, 14];26.705378289001736;7.462336488363881;9.952488000000002;6.451611288363882;1.684542;1.0107252;15.068348289001733;0.0
8;Inception: 1-13;[1, 832, 14, 14];22.282395356992346;8.863925167010475;11.180232000000002;7.271209567010475;2.6545259999999997;1.5927155999999998;8.447637356992345;0.0
9;MaxPool2d: 1-14;[1, 832, 7, 7];19.4492141360012;7.669464367010475;11.180232000000002;7.271209567010475;0.6637580000000001;0.3982548;7.605224136001198;0.0
10;Inception: 1-15;[1, 832, 7, 7];16.43367779398141;7.944228113657079;11.554200000000002;7.545973313657079;0.6637580000000001;0.3982548;4.215719793981407;0.0
11;Inception: 1-16;[1, 1024, 7, 7];13.113091818996866;8.408030896236747;12.068896;7.9179616962367465;0.816782;0.49006920000000004;0.2274138189968653;0.0
12;AdaptiveAvgPool2d: 1-17;[1, 1024, 1, 1];12.237409948002757;7.928059696236747;12.068896;7.9179616962367465;0.016829999999999998;0.010098;0.15168394800275564;0.0
13;Linear: 1-19;[1, 1000];12.09015213400713;7.927829296236746;12.068896;7.9179616962367465;0.016446000000000002;0.0098676;0.004810134007129818;0.0
